 ,Auditor,Close Date,ICO Size ($mn),Cumulative ICO Funding ($mn),coinmarketcap URL,Symbol,Current market capitalization (fully diluted) in USD,Trading volume (24hrs),website link (URL),whitepaper link (URL),Date,NOTES,Other links,DeadCoin Listing,Coinopsy Failure Reason,Value Creation % (less than 100% is value destruction),Volume as % of Raise,Volume as % of Market Cap,,Other research,ValueCreationNorm,Governance Transparency,Voting Eligibility,Decision/voting rights,Decision-making mechanism,Voting delegation,Specific governance roles,Internal on-chain audit,Execution quality KPI accountablity,Community co-creation of projects,Interface for centralized systems
Dent,John,7/26/2017, $ 4.10 , $ 810.91 ,https://coinmarketcap.com/currencies/dent/,DENT,"357,381,659","20,228,569",https://www.dentwireless.com/,https://www.dentwireless.com/whitepaper,06/06/2021,Website down,,,,8716.63%,493.38%,5.66%,,"DENT token is fundamentally a utility token used to buy / sell / donate GB of mobile data. However, it does not appear that they have any decentralized governance structure built in at this time. Thus, DENT is likely built on a centralized / decentralized hybrid model; users have full agency over their mobile data and how it is transferred, but the direction and core functionality of the platform is ultimately moved by a systemof core developers and executives",4,LOW,None,None,Centralized,None,No,No,No,No,Yes
Digital Ticks,John,6/15/2018, $ 30.00 , $ 840.91 ,https://coinpaprika.com/coin/dtx-digital-ticks/,DTX,"1,059,289.60",1.65,https://www.digitalticks.com/,https://www.digitalticks.com/pdfs/Digitalticks_whitepaper.pdf,04/06/2021,"Website down with promise that ""[they] will be back soon""",https://etherscan.io/token/0x82fdedfb7635441aa5a92791d001fa7388da8025,,,3.53%,0.00%,0.00%,,,1,LOW,None,None,Centralized,None,No,No,No,No,Yes
DigixDAO,Aryan ,3/28/2016, $ 5.50 , $ 846.41 ,https://coinmarketcap.com/currencies/digixdao/,DGD,"48,801,103","46,938",https://digix.global/dgd/,https://digix.global/whitepaper.pdf,06/07/2021,"Website down, but on wayback machine shows that this is a digital gold project",,,,887.29%,0.85%,0.10%,,,3,LOW,None,None,Centralized,None,No,No,Yes,No,No
DreamTeam,Aryan ,12/15/2017, $ 5.52 , $ 851.93 ,https://coinpaprika.com/coin/dream-dreamteam-token/,DREAM,"740,719.14",66.46,https://token.dreamteam.gg/,https://token.dreamteam.gg/documents/DreamTeam_Whitepaper_ENG.pdf,06/06/2021,"INFRASTRUCTURE PLATFORM AND PAYMENT GATEWAY FOR ESPORTS & GAMING, the platform is using dream tokens as a medium of exchange for in game purchases",,,,13.43%,0.00%,0.01%,,https://token.dreamteam.gg/documents/Tokenomics_EN.pdf,1,LOW,None,None,Centralized,None,No,Yes,No,No,No
DreamTeam (DREAM),REPEAT,2/28/2018, $ 6.00 , $ 857.93 ,https://coinpaprika.com/coin/dream-dreamteam-token/,DREAM,"740,719.14",66.46,https://token.dreamteam.gg/,https://token.dreamteam.gg/documents/DreamTeam_Whitepaper_ENG.pdf,06/06/2021,,,,,12.35%,0.00%,0.01%,,,1,,,,,,,,,,
Elysian,John,6/26/2018, $ 7.00 , $ 864.93 ,https://coinmarketcap.com/currencies/elysian/,ELY,"2,490,652.51","1,127,282.62",https://elycoin.io/,https://elycoin.io/whitepaper/english,04/06/2021,,,,,35.58%,16.10%,45.26%,,"Elysian is a hybrid blockchain model which focuses on E-commerce. The site incentivizes users to participate off-chain in discussion forums; good contributions are rewarded with tokens. However, the ultimate protocol-layer decisions are up to a centralized group of engineers.",1,HIGH,Whole community,Proportional,Centralized,None,No,No,Yes,Yes,Yes
Elysian,REPEAT,7/8/2018,7, $ 871.93 ,https://coinmarketcap.com/currencies/elysian/,ELY,"2,495,822.61","1,123,211.97",https://elycoin.io/,,04/06/2021,,,,,35.65%,16.05%,45.00%,,,1,,,,,,,,,,
Essentia,Anna,6/29/2018, $ 25.50 , $ 897.43 ,https://coinmarketcap.com/currencies/essentia/,ESS,"5,636,582.86","150,521.55",https://essentia.one/,https://essentia.one/files/essentia_whitepaper_draft.pdf,04/06/2021,,,,Main reasons for dead coin listing Abandoned or No Volume.,22.10%,0.59%,2.67%,,,1,HIGH,All token holders,Proportional,Token amount majority,None,No,Yes,No,Yes,Yes
FANTOM,Anna,6/16/2018, $ 39.65 , $ 937.08 ,https://coinmarketcap.com/currencies/fantom/,FTM,"1,057,029,272.71","103,012,167.85",https://fantom.foundation/,https://fantom.foundation/research/wp_fantom_v1.6.pdf,04/06/2021,,Governance doc,,,2665.90%,259.80%,9.75%,,,4,HIGH,All token holders,Proportional,Token amount majority,None,Yes,Yes,No,Yes,Yes
First Blood,Anna,9/26/2016, $ 5.50 , $ 942.58 ,https://coinmarketcap.com/currencies/firstblood/,1ST,"260,382,989","1,296",https://firstblood.io/,https://github.com/firstbloodio/white_paper/blob/master/FirstBlood%20White%20Paper.pdf,06/07/2021,,,,,4734.24%,0.02%,0.00%,,,4,LOW,None,None,Centralized,None,No,No,No,No,Yes
Gnosis,Anna,4/24/2017, $ 12.25 , $ 954.83 ,https://coinmarketcap.com/currencies/gnosis-gno/,GNO,"1,874,249,851","1,548,076",https://gnosis.io/,https://gnosis.io/,06/06/2021,,,,,15300.00%,12.64%,0.08%,,,4,HIGH,All token holders,Quadratic,Token amount majority,None,No,Yes,No,Yes,No
HelloGold (HGT),Anna,10/2/2017, $ 5.14 , $ 959.97 ,https://coinmarketcap.com/currencies/hellogold/,HGT,"913,884",no data,https://www.hgfoundation.io/,https://www.hgfoundation.io/wp-content/downloads/HelloGold-Technical-Whitepaper-27-Aug-17-Final.pdf,06/06/2021,,,,,17.78%,#VALUE!,#VALUE!,,,1,HIGH,None,None,Centralized,None,No,No,No,No,No
Iconomi,Anna,9/26/2016, $ 10.50 , $ 970.47 ,https://etherscan.io/token/0x888666ca69e0f178ded6d75b5726cee99a87d698,ICN,"21,673,356.34",1038.01,https://www.iconomi.net/,,06/07/2021,,,DEAD,,206.41%,0.01%,0.00%,,,3,HIGH,All token holders,Tiered,Consortium majority,None,No,Yes,No,No,Yes
INCX,Anna,6/29/2018, $ 5.13 , $ 975.60 ,https://coinpaprika.com/coin/incx-internationalcryptox/,INCX,"284,076.00",1.49,https://internationalcryptox.io/,https://internationalcryptox.io/assets/incx-wp.pdf,04/06/2021,See:  https://coinpaprika.com/coin/incx-internationalcryptox/      https://icodrops.com/incx/  https://twitter.com/incryptox?lang=en  https://exchange.incx.trade,https://coinpaprika.com/coin/incx-internationalcryptox/,,,5.54%,0.00%,0.00%,,,1,LOW,None,None,Centralized,,,,,No,
Komodo,Anna,11/20/2016, $ 1.98 , $ 977.58 ,https://coinmarketcap.com/currencies/komodo/,KMD,"323,767,301","9,118,600",https://komodoplatform.com/,https://komodoplatform.com/whitepaper,06/07/2021,,,,,16351.88%,460.54%,2.82%,,,4,HIGH,All token holders,Proportional,Token amount majority,None,No,Yes,No,Yes,Yes
KyberNetwork,Anna,9/16/2017, $ 53.01 ," $ 1,030.59 ",https://coinmarketcap.com/currencies/kyber-network-crystal-legacy/,KNC,"512,611,356","95,293,534",https://kyber.network/,https://files.kyber.network/Kyber_Protocol_22_April_v0.1.pdf,06/06/2021,,,,,967.01%,179.77%,18.59%,,,3,HIGH,All token holders,Proportional,Token amount majority,Open,No,Yes,Yes,Yes,No
Lisk,Anna,3/21/2016, $ 5.80 ," $ 1,036.39 ",https://coinmarketcap.com/currencies/lisk/,LSK,"524,001,383","25,694,841",https://lisk.io/,https://lisk.io/documentation/home,06/07/2021,,,,,9034.51%,443.01%,4.90%,,,4,HIGH,All token holders,Proportional,Token amount majority,None,Yes,Yes,Yes,Yes,Yes
Lykke,Anna,2/28/2017, $ 1.21 ," $ 1,037.60 ",https://coinmarketcap.com/currencies/lykke/,LKK,"15,250,771","1,572",https://lykke.com/,https://www.lykke.com/media/Whitepaper_LykkeExchange.pdf,06/07/2021,,LKK 2.0 whitepaper,,Main reasons for dead coin listing Abandoned or No Volume.,1260.39%,0.13%,0.01%,,,4,LOW,All token holders,Proportional,Token amount majority,None,Yes,No,No,Yes,Yes
MaidSafeCoin,Anna / John,5/21/2014, $ 6.00 ," $ 1,043.60 ",https://coinmarketcap.com/currencies/maidsafecoin/,MAID,"337,486,747","1,376,070",https://safenetwork.tech/,https://github.com/maidsafe/Whitepapers/blob/master/Project-Safe.md,06/07/2021,,,,,5624.78%,22.93%,0.41%,,"The Safe Network is a decentralized internet protocol that offers SafeCoin in exchange for user data storage. It allows the user increased privacy and agency in its interactions, but the underlying protocol is not subject to a consensus mechanism; a core group of developers maintains the technology.",4,LOW,None,None,Centralized,None,Yes,No,No,No,No
Mega X,Aryan ,11/17/2017, $ 2.47 ," $ 1,046.07 ",https://etherscan.io/token/0xc79d440551a03f84f863b1f259f135794c8a7190,MGX,,,https://megax.io/,https://drive.google.com/file/d/0B0G2NEQVoA1dbVZEc09NRW5sOVU/view,06/06/2021,"Website DNS error, ITO was for a funding raise, raised 2,474,160 USD",,,,0.00%,0.00%,#DIV/0!,,Essentially this is an ERC20 token that is to be used instead of traditional fiat purely for a payments processing POV on their retial activities. All of which seem defunct.,1,LOW,None,None,Centralized,None,No,No,No,No,No
Melon,Aryan ,2/15/2017, $ 2.90 ," $ 1,048.97 ",https://coinpaprika.com/coin/mln-melon/,MLN,"322,834,183.61",31569445,https://enzyme.finance/,,06/07/2021,ERC20,,,,11132.21%,1088.60%,9.78%,,,4,LOW,None,None,Centralized,None,Yes,No,Yes,Yes,Yes
Metronome,Aryan ,6/25/2018, $ 10.16 ," $ 1,059.13 ",https://coinmarketcap.com/currencies/metronome/,MET,"48,851,830.83","119,232.62",https://www.metronome.io/,,04/06/2021,,,,,480.83%,1.17%,0.24%,,,3,HIGH,All token holders,Proportional,Token amount majority,None,No,Yes,Yes,Yes,Yes
Midas Protocol,Aryan ,7/1/2018,9.02," $ 1,068.15 ",https://coinmarketcap.com/currencies/midasprotocol/,MAS,"860,501.28","115,917.93",https://midasprotocol.io/,https://github.com/MidasCore/,04/06/2021,"Website is down, but twitter and github are active, poor reviews on google play store for their wallet app with claims of scam activity",,,,9.54%,1.29%,13.47%,,,1,LOW,None,None,Centralized,None,No,No,No,No,Yes
Modum.io,John,9/22/2017, $ 13.50 ," $ 1,081.65 ",https://coinpaprika.com/coin/mod-modum/,MOD,"574,146.57",164.47,https://modum.io/,https://modum.io/wp-content/uploads/2017/08/modum-whitepaper-v.-1.0.pdf,06/06/2021,Aquired by Roambee,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,4.25%,0.00%,0.03%,,"Modum is an IOT device designed to implement blockchain technology and smart contracts within Pharma supply-chain models. Holders of the token receive profits as the company profits, but there is no direct governance protocol in that neither users nor tokens impact the governance of the protocol.",1,LOW,None,None,Centralized,None,No,No,No,No,Yes
MoneyToken,John (repeat),3/21/2018, $ 1.50 ," $ 1,083.15 ",https://coinmarketcap.com/currencies/moneytoken/,IMT,"1,545,875","14,006",https://moneytoken.eu/,,06/06/2021,Lending platform ,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,103.06%,0.93%,0.91%,,,3,LOW,None,,,,,,,,
MoneyToken (IMT),John,6/6/2018, $ 37.19 ," $ 1,120.34 ",https://coinmarketcap.com/currencies/moneytoken/,IMT,"50,198,553.60",,https://moneytoken.eu/,,04/06/2021,,,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,134.98%,0.00%,0.00%,,"MoneyToken is a platform that enables users to use crypto as collateral for loans. Thus, it is a centralized platform which uses decentralized currencies as its prior form of collateral.",3,LOW,None,None,Centralized,None,No,No,No,No,Yes
NeuCoin,John,4/30/2015, $ 0.63 ," $ 1,120.97 ",https://coinmarketcap.com/currencies/neucoin/,NEU,,,http://www.neucoin.org/,,06/07/2021,"Website down, project defunct https://www.newsbtc.com/news/utter-failure-neucoin-forces-foundation-shut/",,DEAD,Main reasons for dead coin listing Abandoned or No Volume.,0.00%,0.00%,#DIV/0!,,"NeuCoin sought to serve as a solution for microtransactions within the blockchain space, but the innundation of other alt coin ICOs at the same time, as well as an ability to gain significant trading volume and reach a substantial price level, ultimately caused its downfall.",1,HIGH,All token holders,Proportional,Token amount majority,None,No,No,Yes,No,No
OmiseGO,Aryan ,6/23/2017, $ 21.00 ," $ 1,141.97 ",https://icomarks.com/ico/omisego,OMG,,"157,048,291.37",https://omg.omise.co/?utm_source=icomarks,https://cdn.omise.co/omg/whitepaper.pdf,06/06/2021,"Website down, seems new website is omg.network",,,,0.00%,747.85%,#DIV/0!,,,1,LOW,None,None,Centralized,None,No,No,No,Yes,Yes
OneLedger,John,6/16/2018, $ 15.00 ," $ 1,156.97 ",https://coinmarketcap.com/currencies/oneledger/,OLT,"9,739,473.47","120,989.90",https://oneledger.io/,https://www.oneledger.io/wp-content/uploads/2021/04/oneledger-whitepaper.en_.pdf,04/06/2021,,,,,64.93%,0.81%,1.24%,,,1,HIGH,All token holders,Proportional,Other,Open,No,No,Yes,No,No
Orbs,John,5/15/2018, $ 118.00 ," $ 1,274.97 ",https://coinmarketcap.com/currencies/orbs/,ORBS,"776,594,797.00","1,465,354",https://www.orbs.com/,https://www.orbs.com/white-papers,05/06/2021,,,,,658.13%,1.24%,0.19%,,"Randomized Proof-of-Stake: everytime consensus is required, a random sample of the community is chosen to be actors in the consensus mechanism. This enables the clearing of transactions to be accelerated because not every member has to vote on every action within the system",3,HIGH,All token holders,Proportional,Other,None,No,No,Yes,No,No
Raiden Network (RDN),John,11/1/2017, $ 33.13 ," $ 1,308.11 ",https://coinmarketcap.com/currencies/raiden-network-token/,RDN,"47,586,708","1,973,147",https://raiden.network/,https://raiden-network.readthedocs.io/en/stable/,06/06/2021,,,,,143.62%,5.96%,4.15%,,"Presently, Raiden has no built-in governance protocol; however, per an article published on its website, it intends to build in a governance protocol which allows users to allocate governance to members with technical knowledge. This proposal will be reflected in my findings, as this proposal certainly must have an impact on token value",3,LOW,All token holders,Proportional,Other,Open,No,No,Yes,No,No
Santiment,John,7/5/2017, $ 12.09 ," $ 1,320.20 ",https://coinmarketcap.com/currencies/santiment/,SAN,"14,558,315","1,169,838",https://santiment.net/,https://docs.google.com/document/d/1hHmJQWrPrObSgCA8kTbk-4LgqGbYzukQAjtg5b8jwc0/view,06/06/2021,,,,,120.42%,9.68%,8.04%,,,3,HIGH,All token holders,Proportional,Token amount majority,Open,No,Yes,Yes,No,No
SCORUM (SCR),John,2/11/2018, $ 5.63 ," $ 1,325.83 ",https://coinmarketcap.com/currencies/scorum-coins/,SCR,"350,088","1,213",https://scorum.com/,,06/06/2021,,,,,6.22%,0.02%,0.35%,,"Scorum doesn't actually have a traditional ""governance"" structure per say; the site rewards fans for placing bets and engaging with content, but there is not a mechanism by which users can actually shape the future / direction of the platform.",1,LOW,None,None,Centralized,None,No,No,No,No,Yes
Status,John,6/21/2017, $ 95.00 ," $ 1,420.83 ",https://coinmarketcap.com/currencies/status/,SNT,"644,653,197","12,696,961",http://status.im/,https://status.im/whitepaper.pdf,06/06/2021,,,,,678.58%,13.37%,1.97%,,Status has a built in reputation system that will serve as a trust mechanism for internal audit on the blockchain,3,HIGH,All token holders,Proportional,Token amount majority,None,No,Yes,No,Yes,No
Streamr,John,10/13/2017, $ 27.00 ," $ 1,447.83 ",https://coinmarketcap.com/currencies/streamr/,DATA,"79,376,936","9,475,308",https://streamr.network/,https://streamr.network/docs,06/06/2021,,,,,293.99%,35.09%,11.94%,,"Streamr has three options for voting rights: single choice voting, approval voting, and quadratic voting",3,HIGH,All token holders,Other,Token amount majority,None,No,No,Yes,No,No
TenX,John,6/24/2017, $ 83.11 ," $ 1,530.94 ",https://coinmarketcap.com/currencies/tenx/,PAY,"15,449,440","1,336,744",https://www.tenx.tech/,http://www.tenx.tech/whitepaper/tenx_whitepaper_final.pdf,06/06/2021,,,,,18.59%,1.61%,0.00%,,"Objective: Create a mechanism to pay solely with electric money, i.e. global banking for crypto currencies. Note: On April 9th, 2021, TenX shifted from a centralized protocol to a decentralized protocol, Mimo. Ask Alan which information we should include. Other notes: votes are determined by input stake that decreases linearly as a function of time ",1,HIGH,All token holders,Proportional,Token amount majority,None,Yes,No,Yes,No,No
Ternio,John,6/16/2018, $ 3.00 ," $ 1,533.94 ",https://coinmarketcap.com/currencies/ternio/,TERN,"8,215,802.61","3,286.21",https://www.ternio.io/,,04/06/2021,,,,,273.86%,0.11%,0.04%,,Ternio is essentially a centralized system providing financial services using blockchain technology,3,LOW,None,None,Centralized,None,No,No,No,No,Yes
The Abyss (DAICO),John,5/16/2018, $ 15.36 ," $ 1,549.30 ",https://coinmarketcap.com/currencies/abyss/,ABYSS,"27,168,939","733,689",https://abyss.finance/,,05/06/2021,,,,,176.88%,4.78%,2.70%,,,3,HIGH,All token holders,Proportional,Token amount majority,None,No,No,Yes,No,No
